2018-08-20 04:24:44 语句：select count(*) as sum from home_user  limit 1
2018-08-20 04:24:44 语句：select home_user.*,admin_vip.* from home_user left outer join admin_vip on home_user.vip_id=admin_vip.vip_id   order by user_id desc  limit 0,5 
2018-08-20 09:10:49 语句：select count(*) as sum from home_user  limit 1
2018-08-20 09:10:49 语句：select home_user.*,admin_vip.* from home_user left outer join admin_vip on home_user.vip_id=admin_vip.vip_id   order by user_id desc  limit 0,5 
2018-08-20 09:44:42 语句：select count(*) as sum from home_user  limit 1
2018-08-20 09:44:42 语句：select home_user.*,admin_vip.* from home_user left outer join admin_vip on home_user.vip_id=admin_vip.vip_id   order by user_id desc  limit 0,5 
2018-08-20 11:35:19 语句：select count(*) as sum from home_user  limit 1
2018-08-20 11:35:19 语句：select home_user.*,admin_vip.* from home_user left outer join admin_vip on home_user.vip_id=admin_vip.vip_id   order by user_id desc  limit 0,5 
2018-08-20 16:37:04 语句：select count(*) as sum from home_user  limit 1
2018-08-20 16:37:04 语句：select home_user.*,admin_vip.* from home_user left outer join admin_vip on home_user.vip_id=admin_vip.vip_id   order by user_id desc  limit 0,5 
2018-08-20 17:59:05 语句：select count(*) as sum,DATE_FORMAT('home_user','%Y-%m') as month from home_user where DATE_FORMAT('reg_time','%Y-%m')>='' AND DATE_FORMAT('reg_time','%Y-%m')<='' GROUP BY DATE_FORMAT('reg_time','%Y-%m')     
2018-08-20 18:01:55 语句：select count(*) as sum,DATE_FORMAT('home_user','%Y-%m') as month from home_user where DATE_FORMAT('reg_time','%Y-%m')>='2018-08' AND DATE_FORMAT('reg_time','%Y-%m')<='' GROUP BY DATE_FORMAT('reg_time','%Y-%m')     
2018-08-20 18:02:21 语句：select count(*) as sum,DATE_FORMAT('home_user','%Y-%m') as month from home_user where DATE_FORMAT('reg_time','%Y-%m')>='2018-08' AND DATE_FORMAT('reg_time','%Y-%m')<='2018-08' GROUP BY DATE_FORMAT('reg_time','%Y-%m')     
2018-08-20 18:02:55 语句：select count(*) as sum,DATE_FORMAT('home_user','%Y-%m') as month from home_user where DATE_FORMAT('reg_time','%Y-%m')>='2018-08' AND DATE_FORMAT('reg_time','%Y-%m')<='2018-08' GROUP BY DATE_FORMAT('reg_time','%Y-%m')    
2018-08-20 18:12:41 语句：select count(*) as sum,DATE_FORMAT('reg_time','%Y-%m') as month from home_user where DATE_FORMAT('reg_time','%Y-%m')>='2018-08' AND DATE_FORMAT('reg_time','%Y-%m')<='2018-08' GROUP BY DATE_FORMAT('reg_time','%Y-%m')    
2018-08-20 18:14:43 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-08' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-08' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 18:28:05 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-08' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-08' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 18:28:51 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-08' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-08' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 18:29:30 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-08' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-08' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 18:30:17 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
2018-08-20 18:31:01 语句：select count(*) as sum,DATE_FORMAT(reg_time,'%Y-%m') as month from home_user where DATE_FORMAT(reg_time,'%Y-%m')>='2018-01' AND DATE_FORMAT(reg_time,'%Y-%m')<='2018-12' GROUP BY DATE_FORMAT(reg_time,'%Y-%m')    
